No,曲名,アーティスト,YouTube_URL,投稿日,インスト状況,インストURL,著作権確認,ニコニコ可否,ステータス,備考
1,カーテンコール,優里,https://www.youtube.com/watch?v=jpiSvrVxceQ,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music/アリオラジャパン
2,僕らまた,SG,https://www.youtube.com/watch?v=ZYFkqmtawHo,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,Piano Ver. / JOYSOUNDに登録確認
3,彷ぐ,とた,https://www.youtube.com/watch?v=YVgJQSj_yBg,,未調査,,要確認,要確認,投稿済み,実写MV / カラオケ未登録・個別確認が必要
4,らしさ,Official髭男dism,https://www.youtube.com/watch?v=pVqJ_lDcE-A,,未調査,,NexTone,可,投稿済み,確認済み
5,夜撫でるメノウ,Ayase,https://www.youtube.com/watch?v=tGF-g3wJ7cA,,未調査,,JASRAC,可,投稿済み,YOASOBI/JASRAC受賞確認
6,プロポーズ,なとり,https://www.youtube.com/watch?v=DR-Xc114ThA,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUNDに52曲・1位
7,ヴァンパイア,DECO*27,https://www.youtube.com/watch?v=LwMJbkUabFY,,未調査,,JASRAC+NexTone,可,投稿済み,JASRAC:9013388002 / NexTone:ID000007132
8,怪獣の花唄,Vaundy,https://www.youtube.com/watch?v=-ehNEQA7Jrc,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music/アリオラジャパン
9,オレンジ,SPYAIR,https://www.youtube.com/watch?v=qqKrdDiHlvw,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music
10,青のすみか,キタニタツヤ,https://www.youtube.com/watch?v=maFfx1IW-Ok,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music/MASTERSIX FOUNDATION
11,雨とペトラ,バルーン,https://www.youtube.com/watch?v=CJlsmbJQ9es,,未調査,,JASRAC+NexTone,可,投稿済み,確認済み
12,ダーリン,Mrs. GREEN APPLE,https://www.youtube.com/watch?v=SbqZoc44NTo,,未調査,,JASRAC（推定）,可（推定）,投稿済み,実写MV / Universal Music/EMI Records
13,春を告げる,yama,https://www.youtube.com/watch?v=n_Q4FTglnFA,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music/Epic Records
14,絶え間なく藍色,獅子志司,https://www.youtube.com/watch?v=3Ll5p6LD3qU,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUND ID:788244 / KAMITSUBAKI STUDIO
15,IN_MY_HEAD,なとり,https://www.youtube.com/watch?v=j88L4G0xwuY,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUNDに52曲・6位
16,ACTOR,友成空,https://www.youtube.com/watch?v=ecQjjKpu5Ok,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUNDに18曲
17,Bunny Girl,AKASAKI,https://www.youtube.com/watch?v=0KNvBnO9-pY,,未調査,,JASRAC+NexTone,可,投稿済み,JASRAC:9014141001 / NexTone:ID000005971
18,メロドラマ,なとり & imase,https://www.youtube.com/watch?v=cZDYkJ6zIR8,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUND ID:429608
19,ツキミソウ,Novelbright,https://www.youtube.com/watch?v=DTQzWm3owUg,,未調査,,JASRAC（推定）,可（推定）,投稿済み,実写MV / Universal Music
20,梅酒ロック,メガテラ・ゼロ,https://www.youtube.com/watch?v=bOydSx6EDqQ,,未調査,,JASRAC/NexTone（推定）,可（推定）,投稿済み,アーティストはJOYSOUND22曲登録済み・梅酒ロック個別は要確認
21,寝めっ娘,友成空,https://www.youtube.com/watch?v=YY1_JsGMaTM,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,JOYSOUNDに「睨めっ娘」として登録確認
22,ダーリン,須田景凪,https://www.youtube.com/watch?v=lQhe4_dxdLU,,未調査,,JASRAC（推定）,可（推定）,投稿済み,Sony Music系
23,バーゲンセール,音田雅則,https://www.youtube.com/watch?v=u4vI3MMmYf4,,未調査,,JASRAC/NexTone（カラオケ確認）,可,投稿済み,実写MV / JOYSOUND & DAM確認
24,笑うな！,syudou,https://www.youtube.com/watch?v=gHjdlxqxD00,,未調査,,JASRAC,可,投稿済み,公式規約で確認済み
